name,ingredients
Breakfast Martini,45 ml Gin20 ml Triple Sec20 ml Lemon Juice12 1/2 ml Sugar Syrup1 heaped spoon of Orange Marmaladeflamed lemon zest
Caipivodka,50 ml Vodka1/2 Lime2 teaspoons Refined SugarLemon Slice
Baja Gold,50 ml Tequila12 1/2 ml Triple Sec50 ml Pineapple Juice12 1/2 ml Lime Juice12 1/2 ml Simple SyrupLime Wedge
Sex on the Beach,25 ml Vodka / 25 ml Peach Schnapps / 40 ml Orange Juice / 20 ml Cranberry Juice / Orange Slice for Garnish
Tequila Sunrise,50 ml Tequila80 ml Orange Juicedash Grenadine SyrupLime wedgeOrange slice
Bronx,50 ml Gin12 1/2 ml Sweet Red Vermouth12 1/2 ml Dry Vermouth25 ml Fresh Orange JuiceOrange Zest TwistMaraschino Cherry
Caribbean Sunrise,45 ml Rum60 ml Orange Juice15 ml Grenadine SyrupOrange Slice
Gibson,"60 ml Gin10 ml Dry Vermouth ,1 Silverskin Onion"
Bay Breeze,50 ml Vodka25 ml Pineapple Juice25 ml Cranberry Juice25 ml Lemon Juice12 1/2 ml Sugar SyrupOrange Wedge
Raspberry Mojito,50 ml White Rum15 ml Raspberry Liqueur25 ml Lime Juice35 ml Soda Water2 Bar Spoons Superfine Sugar5 Raspberries8 Mint Leaves
SideCar,37 1/2 ml Cognac12 1/2 ml Triple Sec20 ml Lemon Juicedash Egg White5 ml Sugar SyrupOrange peel
Champagne Cocktail,100 ml Champagne25 ml Brandy1 heaped bar spoon Sugar4 dashes Angostura Bitters
Godfather,37 1/2 ml Scotch Whiskey12 1/2 ml Amaretto
Hemingway Daiquiri,50 ml White Rum10 ml Maraschino Liqueur12 1/2 ml Grapefruit Juice12 1/2 ml Lime Juice12 1/2 ml Simple SyrupMaraschino Cherry
Raspberry Daiquiri,"50 ml Light Rum25 ml Lime Juice2 spoons Caster Sugar6 Raspberries,"
Blueberry Collins,50 ml Gin25 ml Lemon Juice12 1/2 ml Vanilla Sugar Syrup19 BlueberriesTop-Up Soda water
Gimlet,60 ml Premium Gin10 ml Lime Cordial
Chocolate-covered Cherry,30 ml Baileys Cream Liqueur30 ml Coffee Liqueur1 Tablespoon Grenadine Syrup
Lemongrad,50 ml Citron Vodka25 ml Lemon Juice12 1/2 ml Elderflower CordialTop-Up Tonic WaterPink Grapefruit Wedge
Planters Punch,50 ml Dark Rum30 ml Lime Juice10 ml Grenadine Syrup15 ml Sugar SyrupSplash of Soda Water2 dashes Angostura Bitters
Blushing Bride,25 ml Peach Schnapps100 ml Champagne25 ml Grenadine Syrup
Gin Rickey,50 ml Gin25 ml Lime Juice12 1/2 ml Sugar SyrupSoda WaterLime wedge
Passion Fruit Daiquiri,25 ml Bacardi Rum25 ml Passoa25 ml Lime Juice12 1/2 ml Sugar Syrup1 Passion Fruit
Cantarito,37 1/2 ml Tequila12 1/2 ml Lime Juice12 1/2 ml Orange Juice12 1/2 ml  Lemon Juice10 ml Grapefruit SodaLemonLime & Orange wedgesSalt
Brandy Collins,50 ml Brandy25 ml Squeezed Lemon Juice15 ml Sugar Syrup15 ml Soda WaterMaraschino CherryLemon Slice
Volcano,125 ml Golden Rum25 ml Dark Rum10 ml 151 Rum6 dashes Absinthe6 dashes Angostura Bitters50 ml Pink Grapefruit Juice50 ml Orange Juice50 ml Pineapple Juice50 ml Lime Juice25 ml Falernum50 ml Grenadine SyrupCinnamon
Americano,25 ml Campari25 ml Sweet Vermouthdash of Soda WaterLemon Peel
Accomplice,50 ml Vodka25 ml Lemon Juice12 1/2 ml Sugar SyrupChampagne3 Strawberries
Berry Nice,50 ml Raspberry Vodka5 ml Black Raspberry Liqueur12 1/2 ml Lemon Juice8 BlackberriesTop-Up Ginger Beer
Mojito Royal,40 ml White Rum30 ml Lime Juice 3 Mint Leaves2 teaspoons SugarSplash of Champagne
Tom Collins,37 1/2 ml Gin25 ml Lemon Juice12 1/2 ml Sugar Syrupsplash Soda Water
Blackberry Mule,37 1/2 ml Vodka20 ml Crème de Mure25 ml Lime JuiceTop-Up Ginger Beer6 BlackberriesAromatic Bitters
Toasted Almond,37 1/2 ml Amaretto37 1/2 ml Coffee Liqueur25 ml Cream
Boston Sour,50 ml Bourbon Whiskey25 ml Lemon Juice12 1/2 ml Sugar Syrup12 1/2 ml Egg-WhiteLemon Zest
Detropolitan,25 ml Vodka12 1/2 ml Triple Sec5 ml Black Raspberry Liqueur37 1/2 ml  Cranberry Juice12 1/2 ml Lime Juice
Alaska Cocktail,37 1/2 ml Gin20 ml Yellow Chartreuse3 drops Orange BittersOrange Zest Twist
Cheeky Vimto,275 ml Blue WKD / 50 ml Port
Amaretto Sunrise,45 ml Amaretto90 ml Orange Juice15 ml Grenadine SyrupOrange Slice
Ballet Ruse,50 ml Vodka20 ml  Black Raspberry Liqueur25 ml Lime Juice12 1/2 ml Sugar Syrup
Beachcomber,37 1/2 ml Light Rum12 1/2 ml Triple Sec1 dash Maraschino Liqueur12 1/2 ml Lime Juice
Blind Russian,50 ml Vodka20 ml Coffee Liqueur30 ml Irish Cream Liqueur
Midori Sour,25 ml Melon Liqueur25 ml Sweet and Sour mix50 ml Lemon and Lime Soda
Donald Sutherland,45 ml Rye Whiskey25 ml Drambuie
Southside,50 ml Gin25 ml Lime Juice35 ml Soda Water2 dashes Grapefruit Bitters2 Bar Spoons Superfine Sugar6 Mint Leaves
Wahine,37 1/2 ml Light Rum25 ml Vodka37 1/2 ml Pineapple Juice25 ml Lemon Juice12 1/2 ml Sugar SyrupMint Sprig
