,description,cocktail_id,ingredient_id
,12 .5 ml,69,123
,Top-Up,34,124
,1,77,125
,15 ml,80,125
,35 ml,99,125
,35 ml,65,125
,1 dash,82,125
,1 dash,20,125
,1 splash,27,125
,1 splash,86,125
,1 splash,75,125
,1 splash,54,125
,1,23,126
,3,83,126
,12 .5 ml,23,127
,1,43,128
,1 bar spoon,4,128
,1 bar spoon,67,128
,1,13,129
,10 ml,33,130
,12 .5 ml,1,130
,12 .5 ml,24,130
,12 .5 ml,27,130
,12 .5 ml,43,130
,12 .5 ml,77,130
,12 .5 ml,83,130
,12 .5 ml,86,130
,12 .5 ml,89,130
,12 .5 ml,9,130
,12 .5 ml,22,130
,12 .5 ml,23,130
,12 .5 ml,56,130
,12 .5 ml,78,130
,12 .5 ml,94,130
,12 .5 ml,5,130
,12 .5 ml,64,130
,12 .5 ml,100,130
,15 ml,80,130
,15 ml,45,130
,15 ml,75,130
,20 ml,50,130
,20 ml,54,130
,5 ml,66,130
,25 ml,97,131
,12 .5 ml,61,132
,25 ml,18,132
,10 ml,15,133
,15 ml,14,133
,20 ml,25,133
,25 ml,82,133
,15 ml,16,134
,37 .5 ml,10,134
,37 .5 ml,55,134
,37 .5 ml,79,134
,50 ml,50,134
,50 ml,52,134
,50 ml,58,134
,50 ml,60,134
,10 dashes,14,135
,35 ml,14,136
,Top-Up,74,137
,10 ml,46,138
,12 .5 ml,5,138
,12 .5 ml,10,138
,12 .5 ml,58,138
,12 .5 ml,66,138
,12 .5 ml,90,138
,12 .5 ml,95,138
,15 ml,29,138
,15 ml,16,138
,20 ml,56,138
,20 ml,17,138
,25 ml,30,138
,12 .5 ml,71,139
,37 .5 ml,22,140
,15 ml,16,141
,25 ml,21,141
,25 ml,59,141
,25 ml,90,141
,25 ml,100,141
,37 å_,43,141
,37 .5 ml,7,141
,37 .5 ml,24,141
,37 .5 ml,87,141
,37 .5 ml,40,141
,40 ml,29,141
,45 ml,31,141
,50 ml,45,141
,50 ml,48,141
,50 ml,53,141
,50 ml,57,141
,50 ml,64,141
,50 ml,83,141
,50 ml,94,141
,50 ml,96,141
,50 ml,74,142
,25 ml,35,143
,15 ml,16,144
,20 ml,38,144
,40 ml,85,144
,50 ml,1,144
,50 ml,3,144
,50 ml,8,144
,50 ml,65,144
,50 ml,69,144
,20 ml,91,146
