13,1,Lemon Peel
30,1,Lemon Rind
57,1,Lemon Slice
51,1,Lemon Slice
80,1,Lemon Slice
20,1,Lemon slice
52,1,Lemon Slices
2,1,Lemon twist
43,1,Lemon Twist
89,1,Lemon Zest
19,1,Lemon Zest
54,1,Lemon Zest Twist
17,20 ml,Light Rum
34,25 ml,Light Rum
95,37 ½ ml,Light Rum
100,37 ½ ml,Light Rum
70,50 ml,Light Rum
57,½,Lime
72,10 ml,Lime Cordial
6,½,Lime juice
50,10 ml,Lime Juice
79,12 ½ ml,Lime Juice
55,12 ½ ml,Lime Juice
58,12 ½ ml,Lime Juice
69,12 ½ ml,Lime Juice
95,12 ½ ml,Lime Juice
90,12 ½ ml,Lime Juice
54,15 ml,Lime Juice
34,20 ml,Lime Juice
17,20 ml,Lime Juice
24,25 ml,Lime juice
52,25 ml,Lime Juice
70,25 ml,Lime Juice
77,25 ml,Lime Juice
99,25 ml,Lime Juice
3,25 ml,Lime Juice
10,25 ml,Lime Juice
23,25 ml,Lime Juice
36,25 ml,Lime Juice
65,25 ml,Lime Juice
87,25 ml,Lime Juice
94,25 ml,Lime Juice
1,25 ml,Lime Juice
75,30 ml,Lime Juice
85,30 ml,Lime Juice
81,50 ml,Lime Juice
11,4,Lime quarters
3,1,Lime slice
53,1,Lime Slice
48,1,Lime wedge
6,1,Lime Wedge
12,1,Lime wedge
60,1,Lime wedge
11,1,Lime wedge
36,1,Lime wedge
77,1,Lime wedge
58,1,Lime Wedge
79,1,Lime wedge
12,8,Lime wedge
27,1,Maraschino Liqueur
80,1,Maraschino Liqueur
61,1,Maraschino Liqueur
69,1,Maraschino Liqueur
95,1 dash,Maraschino Liqueur
69,10 ml,Maraschino Liqueur
97,25 ml,Melon Liqueur
7,15 ml,Milk
32,50 ml,Milk
51,1,Mint Leaves
85,3,Mint Leaves
99,6,Mint Leaves
1,8,Mint leaves
26,8,Mint leaves
65,8,Mint Leaves
100,1,Mint Sprig
17,1,Mint sprig
26,1,Mint sprigs
1,2,Mint sprigs
4,1 dash,Orange Bitters
20,2 dashes,Orange Bitters
91,3 drops,Orange Bitters
54,4 drops,Orange Flower Water
48,100 ml,Orange Juice
79,12 ½ ml,Orange Juice
38,15 ml,Orange Juice
47,25 ml,Orange Juice
61,25 ml,Orange Juice
59,40 ml,Orange Juice
37,50 ml,Orange Juice
81,50 ml,Orange Juice
62,60 ml,Orange Juice
60,80 ml,Orange Juice
93,90 ml,Orange Juice
39,12 ½ ml,Orange Liqueur
43,12 ½ ml,Orange Liqueur
56,1 heaped spoon,Orange Marmalade
18,1,Orange Peel
4,1,Orange peel
15,1,Orange peel
39,1,Orange Peel
66,1,Orange peel
62,1,Orange Slice
93,1,Orange Slice
59,1,Orange Slice
60,1,Orange slice
38,1,Orange slice
64,1,Orange Wedge
17,1,Orange wedge
79,1,Orange wedges
47,1,Orange Wheel
91,1,Orange Zest Twist
61,1,Orange Zest Twist
17,10 ml,Orgeat Syrup
51,5 ml,Orgeat Syrup
78,1,Passion Fruit
78,25 ml,Passoa
42,4 dashes,Peach Bitters
42,50 ml,Peach puree
76,25 ml,Peach Schnapps
59,25 ml,Peach Schnapps
40,37 ½ ml,Peach Schnapps
14,10 dashes,Pepper
14,37 ½ ml,Peppered Vodka
13,3 dashes,Peychauds Bitters
8,100 ml,Pineapple Juice
47,100 ml,Pineapple Juice
38,15 ml,Pineapple Juice
51,25 ml,Pineapple Juice
64,25 ml,Pineapple Juice
100,37 ½ ml,Pineapple Juice
58,50 ml,Pineapple Juice
81,50 ml,Pineapple Juice
21,75 ml,Pineapple Juice
8,1,Pineapple Slice
50,27 ½ ml,Pink Grapefruit Juice
34,50 ml,Pink Grapefruit Juice
81,50 ml,Pink Grapefruit Juice
50,1,Pink Grapefruit wedge
74,1,Pink Grapefruit Wedge
36,50 ml,Pisco
92,50 ml,Port
42,100 ml,Prosecco
65,5,Raspberries
70,6,Raspberries
21,3,Raspberry
65,15 ml,Raspberry Liqueur
25,20 ml,Raspberry Syrup
84,50 ml,Raspberry Vodka
14,1 splash,Red Wine
57,2 teaspoons,Refined Sugar
81,10 ml,Rum
62,45 ml,Rum
34,12 ½ ml,Runny Honey
98,45 ml,Rye Whiskey
13,50 ml,Rye Whiskey
10,1,salt
45,1,Salt
79,1,Salt
14,10 dashes,Salt
8,1 pinch,Salt
68,37 ½ ml,Scotch Whisky
35,50 ml,Scotch Whisky
63,1,Silverskin Onion
36,12 ½ ml,Simple Syrup
19,12 ½ ml,Simple Syrup
28,12 ½ ml,Simple Syrup
10,12 ½ ml,Simple Syrup
51,12 ½ ml,Simple Syrup
58,12 ½ ml,Simple Syrup
69,12 ½ ml,Simple Syrup
34,Top-Up,Soda
77,1,Soda Water
80,15 ml,Soda Water
99,35 ml,Soda Water
65,35 ml,Soda Water
82,1 dash,Soda Water
20,1 dash,Soda Water
27,1 splash,Soda Water
86,1 splash,Soda Water
75,1 splash,Soda Water
54,1 splash,Soda Water
71,Top-Up,Soda water
80,25 ml,Squeezed Lemon Juice
23,1,Strawberry
83,3,Strawberry
23,12 ½ ml,Strawberry Liqueur
43,1,Sugar
4,1 bar spoon,Sugar
67,1 bar spoon,Sugar
13,1,Sugar Cube
33,10 ml,Sugar Syrup
