cocktail_id,description,ingredient_id
75,30 ml,75
75,1 splash,125
75,15 ml,130
76,100 ml,24
76,25 ml,60
76,25 ml,99
77,50 ml,50
77,25 ml,75
77,1,78
77,1,125
77,12 ½ ml,130
78,25 ml,9
78,25 ml ,75
78,1,95
78,25 ml,96
78,12 ½ ml,130
79,10 ml,57
79,1,64
79,12 ½ ml,66
79,12 ½ ml,75
79,1,78
79,12 ½ ml,86
79,1,91
79,1,120
79,37 ½ ml,134
80,50 ml,17
80,1,69
80,1,79
80,15 ml,125
80,25 ml,66
80,15 ml,130
81,6 dashes,1
81,6 dashes,5
81,1,27
81,25 ml,40
81,25 ml,49
81,125 ml,52
81,50 ml,75
81,50 ml,86
81,50 ml,103
81,50 ml,105
81,10 ml,117
82,25 ml,20
82,1,67
82,1 dash,125
82,25 ml,133
83,1,24
83,25 ml,66
83,3,126
83,12 ½ ml,130
83,50 ml,141
84,5 ml,12
84,8,13
84,Top-Up,51
84,12 ½ ml,66
84,50 ml,114
85,1 splash,24
85,30 ml,75
85,3,82
85,2teaspoons ,128
85,40 ml,144
86,37 ½ ml,50
86,25 ml,66
86,1 splash,125
86,12 ½ ml,130
87,1,8
87,6,13
87,20 ml,38
87,Top-Up,51
87,25 ml,75
87,37 ½ ml,141
88,37 ½ ml,3
88,37 ½ ml,30
88,25 ml,34
89,50 ml,16
89,12 ½ ml,47
89,25 ml,66
89,1,71
89,12 ½ ml,130
90,5 ml,12
90,37 ½ ml,33
90,12 ½ ml,75
90,12 ½ ml,138
90,25 ml,141
91,37 ½ ml,50
91,3 drops,84
91,1,93
91,20 ml,146
92,275 ml,14
92,50 ml,108
93,45 ml,3
93,15 ml,60
93,90 ml,86
93,1,90
94,20 ml,12
94,25 ml,75
94,12 ½ ml,130
94,50 ml,141
95,37 ½ ml,72
95,12 ½ ml,75
95,1 dash,79
95,12 ½ ml,138
96,20 ml,30
96,30 ml,61
96,50 ml,141
97,50 ml,65
97,25 ml,80
97,25 ml,131
98,25 ml,44
98,45 ml,119
99,50 ml,50
99,2 dashes,55
99,25 ml,75
99,6,82
99,35 ml,125
99,2 Bar Spoons,128
100,25 ml,66
100,37 ½ ml,72
100,1,83
100,37 ½ ml,103
100,12 ½ ml,130
100,25 ml,141
